election_round,election_label,election_date,province,municipality,municipality_key,electorate,votes,invalid_votes,abstentions,turnout_rate
6,제6회 전국동시지방선거,2014-06-04,경상북도,상주시,경상북도 상주시,88003,62491,3194,25512,71.01
6,제6회 전국동시지방선거,2014-06-04,경상북도,성주군,경상북도 성주군,39541,25175,987,14366,63.67
6,제6회 전국동시지방선거,2014-06-04,경상북도,안동시,경상북도 안동시,137715,90090,3017,47625,65.42
6,제6회 전국동시지방선거,2014-06-04,경상북도,영덕군,경상북도 영덕군,35266,25717,1162,9549,72.92
6,제6회 전국동시지방선거,2014-06-04,경상북도,영양군,경상북도 영양군,16167,12875,712,3292,79.64
6,제6회 전국동시지방선거,2014-06-04,경상북도,영주시,경상북도 영주시,92496,62153,2142,30343,67.2
6,제6회 전국동시지방선거,2014-06-04,경상북도,영천시,경상북도 영천시,85998,54651,2536,31347,63.55
6,제6회 전국동시지방선거,2014-06-04,경상북도,예천군,경상북도 예천군,39760,29078,1235,10682,73.13
6,제6회 전국동시지방선거,2014-06-04,경상북도,울릉군,경상북도 울릉군,9344,7490,318,1854,80.16
6,제6회 전국동시지방선거,2014-06-04,경상북도,울진군,경상북도 울진군,43627,32316,1698,11311,74.07
6,제6회 전국동시지방선거,2014-06-04,경상북도,의성군,경상북도 의성군,50532,36797,1722,13735,72.82
6,제6회 전국동시지방선거,2014-06-04,경상북도,청도군,경상북도 청도군,39054,28078,1153,10976,71.9
6,제6회 전국동시지방선거,2014-06-04,경상북도,청송군,경상북도 청송군,23703,18396,853,5307,77.61
6,제6회 전국동시지방선거,2014-06-04,경상북도,칠곡군,경상북도 칠곡군,95973,49053,1382,46920,51.11
6,제6회 전국동시지방선거,2014-06-04,경상북도,포항시남구,경상북도 포항시남구,201120,103003,2457,98117,51.21
6,제6회 전국동시지방선거,2014-06-04,경상북도,포항시북구,경상북도 포항시북구,216200,112449,2696,103751,52.01
6,제6회 전국동시지방선거,2014-06-04,광주광역시,광산구,광주광역시 광산구,285875,156178,4456,129697,54.63
6,제6회 전국동시지방선거,2014-06-04,광주광역시,남구,광주광역시 남구,171997,101811,2281,70186,59.19
6,제6회 전국동시지방선거,2014-06-04,광주광역시,동구,광주광역시 동구,86465,51253,1288,35212,59.28
6,제6회 전국동시지방선거,2014-06-04,광주광역시,북구,광주광역시 북구,351880,198547,4583,153333,56.42
6,제6회 전국동시지방선거,2014-06-04,광주광역시,서구,광주광역시 서구,242201,142219,2683,99982,58.72
6,제6회 전국동시지방선거,2014-06-04,대구광역시,남구,대구광역시 남구,142345,70076,1054,72269,49.23
6,제6회 전국동시지방선거,2014-06-04,대구광역시,달서구,대구광역시 달서구,481475,249724,2877,231751,51.87
6,제6회 전국동시지방선거,2014-06-04,대구광역시,달성군,대구광역시 달성군,145001,73713,1207,71288,50.84
6,제6회 전국동시지방선거,2014-06-04,대구광역시,동구,대구광역시 동구,286747,151471,2331,135276,52.82
6,제6회 전국동시지방선거,2014-06-04,대구광역시,북구,대구광역시 북구,348883,179341,2289,169542,51.4
6,제6회 전국동시지방선거,2014-06-04,대구광역시,서구,대구광역시 서구,183116,91230,1701,91886,49.82
6,제6회 전국동시지방선거,2014-06-04,대구광역시,수성구,대구광역시 수성구,359016,201364,1932,157652,56.09
6,제6회 전국동시지방선거,2014-06-04,대구광역시,중구,대구광역시 중구,65996,35719,628,30277,54.12
6,제6회 전국동시지방선거,2014-06-04,대전광역시,대덕구,대전광역시 대덕구,161687,83916,1155,77771,51.9
6,제6회 전국동시지방선거,2014-06-04,대전광역시,동구,대전광역시 동구,202671,104754,1749,97917,51.69
6,제6회 전국동시지방선거,2014-06-04,대전광역시,서구,대전광역시 서구,389886,209058,2220,180828,53.62
6,제6회 전국동시지방선거,2014-06-04,대전광역시,유성구,대전광역시 유성구,240489,138723,1336,101766,57.68
6,제6회 전국동시지방선거,2014-06-04,대전광역시,중구,대전광역시 중구,213239,116220,1705,97019,54.5
6,제6회 전국동시지방선거,2014-06-04,부산광역시,강서구,부산광역시 강서구,59758,35024,1493,24734,58.61
6,제6회 전국동시지방선거,2014-06-04,부산광역시,금정구,부산광역시 금정구,212138,120177,3823,91961,56.65
6,제6회 전국동시지방선거,2014-06-04,부산광역시,기장군,부산광역시 기장군,107360,62794,2558,44566,58.49
6,제6회 전국동시지방선거,2014-06-04,부산광역시,남구,부산광역시 남구,241177,137349,4365,103828,56.95
6,제6회 전국동시지방선거,2014-06-04,부산광역시,동구,부산광역시 동구,83350,47730,1749,35620,57.26
6,제6회 전국동시지방선거,2014-06-04,부산광역시,동래구,부산광역시 동래구,229691,130592,3639,99099,56.86
6,제6회 전국동시지방선거,2014-06-04,부산광역시,부산진구,부산광역시 부산진구,329022,180227,6300,148795,54.78
6,제6회 전국동시지방선거,2014-06-04,부산광역시,북구,부산광역시 북구,251760,139860,5026,111900,55.55
6,제6회 전국동시지방선거,2014-06-04,부산광역시,사상구,부산광역시 사상구,205636,112607,4418,93029,54.76
6,제6회 전국동시지방선거,2014-06-04,부산광역시,사하구,부산광역시 사하구,285319,152223,5288,133096,53.35
6,제6회 전국동시지방선거,2014-06-04,부산광역시,서구,부산광역시 서구,102694,55778,1797,46916,54.31
6,제6회 전국동시지방선거,2014-06-04,부산광역시,수영구,부산광역시 수영구,149975,82961,1963,67014,55.32
6,제6회 전국동시지방선거,2014-06-04,부산광역시,연제구,부산광역시 연제구,174407,99853,2853,74554,57.25
6,제6회 전국동시지방선거,2014-06-04,부산광역시,영도구,부산광역시 영도구,115944,60321,2423,55623,52.03
6,제6회 전국동시지방선거,2014-06-04,부산광역시,중구,부산광역시 중구,41868,23404,771,18464,55.9
6,제6회 전국동시지방선거,2014-06-04,부산광역시,해운대구,부산광역시 해운대구,342080,188267,5550,153813,55.04
6,제6회 전국동시지방선거,2014-06-04,서울특별시,강남구,서울특별시 강남구,467534,270052,2209,197482,57.76
6,제6회 전국동시지방선거,2014-06-04,서울특별시,강동구,서울특별시 강동구,396324,234375,1989,161949,59.14
6,제6회 전국동시지방선거,2014-06-04,서울특별시,강북구,서울특별시 강북구,284048,155350,1658,128698,54.69
6,제6회 전국동시지방선거,2014-06-04,서울특별시,강서구,서울특별시 강서구,470411,273853,2533,196558,58.22
6,제6회 전국동시지방선거,2014-06-04,서울특별시,관악구,서울특별시 관악구,447728,259673,2267,188055,58.0
6,제6회 전국동시지방선거,2014-06-04,서울특별시,광진구,서울특별시 광진구,309269,177484,1451,131785,57.39
6,제6회 전국동시지방선거,2014-06-04,서울특별시,구로구,서울특별시 구로구,355410,212735,1946,142675,59.86
6,제6회 전국동시지방선거,2014-06-04,서울특별시,금천구,서울특별시 금천구,204435,113723,1256,90712,55.63
6,제6회 전국동시지방선거,2014-06-04,서울특별시,노원구,서울특별시 노원구,471804,284532,2724,187272,60.31
6,제6회 전국동시지방선거,2014-06-04,서울특별시,도봉구,서울특별시 도봉구,296035,173232,1686,122803,58.52
6,제6회 전국동시지방선거,2014-06-04,서울특별시,동대문구,서울특별시 동대문구,308318,179384,1897,128934,58.18
